	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer	dataset
0	5087.332807682044	4759.81452182789	5	0.0005	50	50	0.5	9174	1	100	TCGA
1	4184.970824500415	3878.409633617305	5	0.0005	50	50	0.5	9174	1	100	TCGA
2	3446.1348909790436	2997.2761635325064	5	0.0005	50	50	0.5	9174	1	100	TCGA
3	2944.5137294288565	2710.4524060733356	5	0.0005	50	50	0.5	9174	1	100	TCGA
4	2601.7885214610483	2455.028276146357	5	0.0005	50	50	0.5	9174	1	100	TCGA
5	2386.4336606509078	2349.3608300290516	5	0.0005	50	50	0.5	9174	1	100	TCGA
6	2261.7410999446697	2265.466233756674	5	0.0005	50	50	0.5	9174	1	100	TCGA
7	2176.293308105196	2190.290106538552	5	0.0005	50	50	0.5	9174	1	100	TCGA
8	2131.3445381499228	2114.062228868954	5	0.0005	50	50	0.5	9174	1	100	TCGA
9	2101.3790202949285	2069.4956275518216	5	0.0005	50	50	0.5	9174	1	100	TCGA
10	2078.323439265857	2063.034447138034	5	0.0005	50	50	0.5	9174	1	100	TCGA
11	2065.197565507298	2044.643200131517	5	0.0005	50	50	0.5	9174	1	100	TCGA
12	2047.5908744327457	2034.0185227897298	5	0.0005	50	50	0.5	9174	1	100	TCGA
13	2042.5512727741045	2027.5031787354742	5	0.0005	50	50	0.5	9174	1	100	TCGA
14	2038.0409706201733	2026.380774109807	5	0.0005	50	50	0.5	9174	1	100	TCGA
15	2025.8523278136859	2026.289678985749	5	0.0005	50	50	0.5	9174	1	100	TCGA
16	2022.2324179781242	2004.7483768942368	5	0.0005	50	50	0.5	9174	1	100	TCGA
17	2021.129345643173	1997.9767747428548	5	0.0005	50	50	0.5	9174	1	100	TCGA
18	2006.0496686919882	1997.1204177626414	5	0.0005	50	50	0.5	9174	1	100	TCGA
19	1999.600187475147	2002.8423943447708	5	0.0005	50	50	0.5	9174	1	100	TCGA
20	1993.5852671828782	1986.0186049878298	5	0.0005	50	50	0.5	9174	1	100	TCGA
21	1987.5635454254711	1980.553671678706	5	0.0005	50	50	0.5	9174	1	100	TCGA
22	1983.4782819895888	1971.4266283811637	5	0.0005	50	50	0.5	9174	1	100	TCGA
23	1977.5056576912446	1971.223987368483	5	0.0005	50	50	0.5	9174	1	100	TCGA
24	1972.2812875925877	1969.0252084396593	5	0.0005	50	50	0.5	9174	1	100	TCGA
25	1967.749646828608	1956.3810961546012	5	0.0005	50	50	0.5	9174	1	100	TCGA
26	1963.0268240076102	1956.7812315974404	5	0.0005	50	50	0.5	9174	1	100	TCGA
27	1959.67709372046	1952.9880874097048	5	0.0005	50	50	0.5	9174	1	100	TCGA
28	1956.0534452414297	1951.5730526411353	5	0.0005	50	50	0.5	9174	1	100	TCGA
29	1951.8948948857294	1945.3817488320508	5	0.0005	50	50	0.5	9174	1	100	TCGA
30	1948.9862092839167	1949.8437886453753	5	0.0005	50	50	0.5	9174	1	100	TCGA
31	1945.0966531587692	1941.030925501531	5	0.0005	50	50	0.5	9174	1	100	TCGA
32	1942.0657113525854	1937.5045466590766	5	0.0005	50	50	0.5	9174	1	100	TCGA
33	1938.9959968458743	1937.1063398044912	5	0.0005	50	50	0.5	9174	1	100	TCGA
34	1936.3708251380856	1935.2317348461056	5	0.0005	50	50	0.5	9174	1	100	TCGA
35	1933.0820202406449	1930.2625106734847	5	0.0005	50	50	0.5	9174	1	100	TCGA
36	1931.7101523340486	1930.103968327968	5	0.0005	50	50	0.5	9174	1	100	TCGA
37	1928.1121891028968	1930.5422547306846	5	0.0005	50	50	0.5	9174	1	100	TCGA
38	1926.1386949973707	1925.6215538139918	5	0.0005	50	50	0.5	9174	1	100	TCGA
39	1922.9793311075541	1919.104442500589	5	0.0005	50	50	0.5	9174	1	100	TCGA
40	1920.4461257343567	1917.4757724167714	5	0.0005	50	50	0.5	9174	1	100	TCGA
41	1919.0464480059768	1916.631873356038	5	0.0005	50	50	0.5	9174	1	100	TCGA
42	1918.296142796132	1915.1677528266332	5	0.0005	50	50	0.5	9174	1	100	TCGA
43	1915.7198106587125	1911.2346878435144	5	0.0005	50	50	0.5	9174	1	100	TCGA
44	1913.1842864673442	1909.67266446981	5	0.0005	50	50	0.5	9174	1	100	TCGA
45	1911.900828096986	1908.501108447511	5	0.0005	50	50	0.5	9174	1	100	TCGA
46	1910.2037003205576	1906.9914201132617	5	0.0005	50	50	0.5	9174	1	100	TCGA
47	1909.695203278477	1904.9817047885913	5	0.0005	50	50	0.5	9174	1	100	TCGA
48	1906.8407847364774	1904.6070305138976	5	0.0005	50	50	0.5	9174	1	100	TCGA
49	1905.5260300805012	1902.4335176860866	5	0.0005	50	50	0.5	9174	1	100	TCGA
