model_type_z3	variable	value_z3	z_score_z3	algorithm_z3	feature_z3	z_z3	seed_z3	model_type_z14	value_z14	z_score_z14	algorithm_z14	feature_z14	z_z14	seed_z14
real	Keratinocytes_HPCA_3	-10.9015	-33.3225	vae	2	3	908341	real	-2.46113	-5.42071	vae	10	14	486191
real	Keratinocytes_HPCA_3	-11.9194	-19.0049	vae	1	3	908341	real	-2.46113	-5.42071	vae	10	14	486191
real	Keratinocytes_HPCA_3	1.3954	5.91483	vae	0	3	908341	real	-2.46113	-5.42071	vae	10	14	486191
real	Sebocytes_FANTOM_3	-9.07138	-25.2034	vae	1	3	908341	real	-1.80624	-3.52964	vae	10	14	486191
real	Sebocytes_FANTOM_3	-7.56778	-12.5639	vae	2	3	908341	real	-1.80624	-3.52964	vae	10	14	486191
real	Sebocytes_FANTOM_3	1.27863	4.36728	vae	0	3	908341	real	-1.80624	-3.52964	vae	10	14	486191
real	Keratinocytes_ENCODE_1	-6.57257	-23.5054	vae	2	3	908341	real	-1.31071	-2.91931	vae	10	14	486191
real	Keratinocytes_ENCODE_1	-7.222580000000001	-16.004	vae	1	3	908341	real	-1.31071	-2.91931	vae	10	14	486191
real	Keratinocytes_ENCODE_1	0.9942840000000001	3.20316	vae	0	3	908341	real	-1.31071	-2.91931	vae	10	14	486191
real	Sebocytes_FANTOM_1	-8.31761	-21.2059	vae	1	3	908341	real	-1.57247	-3.6243800000000004	vae	10	14	486191
real	Sebocytes_FANTOM_1	-6.76197	-19.1375	vae	2	3	908341	real	-1.57247	-3.6243800000000004	vae	10	14	486191
real	Sebocytes_FANTOM_1	1.1658899999999999	5.971369999999999	vae	0	3	908341	real	-1.57247	-3.6243800000000004	vae	10	14	486191
real	Sebocytes_FANTOM_2	-6.76395	-18.1549	vae	1	3	908341	real	-1.1142	-3.6329800000000003	vae	10	14	486191
real	Sebocytes_FANTOM_2	-5.58625	-14.862	vae	2	3	908341	real	-1.1142	-3.6329800000000003	vae	10	14	486191
real	Sebocytes_FANTOM_2	1.0707200000000001	5.2434	vae	0	3	908341	real	-1.1142	-3.6329800000000003	vae	10	14	486191
real	Hepatocytes_FANTOM_2	-20.663	-17.2109	vae	2	3	908341	real	-8.83585	-10.815999999999999	vae	10	14	486191
real	Hepatocytes_FANTOM_2	-6.781610000000001	0.0206306	vae	1	3	908341	real	-8.83585	-10.815999999999999	vae	10	14	486191
real	Hepatocytes_FANTOM_2	7.333360000000001	11.2174	vae	0	3	908341	real	-8.83585	-10.815999999999999	vae	10	14	486191
real	Keratinocytes_FANTOM_3	-17.6427	-14.9636	vae	1	3	908341	real	-3.48915	-5.02447	vae	10	14	486191
real	Keratinocytes_FANTOM_3	-14.8791	-11.8269	vae	2	3	908341	real	-3.48915	-5.02447	vae	10	14	486191
real	Keratinocytes_FANTOM_3	2.3366599999999997	4.96919	vae	0	3	908341	real	-3.48915	-5.02447	vae	10	14	486191
real	Keratinocytes_HPCA_2	-10.8259	-14.9613	vae	2	3	908341	real	-2.5226	-3.74902	vae	10	14	486191
real	Keratinocytes_HPCA_2	-12.1666	-14.1487	vae	1	3	908341	real	-2.5226	-3.74902	vae	10	14	486191
real	Keratinocytes_HPCA_2	1.14955	5.51575	vae	0	3	908341	real	-2.5226	-3.74902	vae	10	14	486191
real	Keratinocytes_FANTOM_2	-17.2105	-14.7168	vae	1	3	908341	real	-3.38006	-4.097519999999999	vae	10	14	486191
