full_feature	abs_z_score	variable	value	z_score	algorithm	z	seed	weight	abs	z_dim	gene
dae_156	4.48129	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.46557	4.48129	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	3.16951	HALLMARK_HEME_METABOLISM	1.95297	3.16951	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	3.08817	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.569345	3.08817	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	2.90375	HALLMARK_UV_RESPONSE_UP	1.27385	2.90375	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	2.77715	HALLMARK_ESTROGEN_RESPONSE_LATE	0.828225	2.77715	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	2.76895	HALLMARK_HYPOXIA	-1.6594799999999998	-2.76895	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	3.04312	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.66703	-3.04312	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	3.6482699999999997	HALLMARK_COMPLEMENT	-1.4254	-3.6482699999999997	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	4.1147800000000005	HALLMARK_KRAS_SIGNALING_UP	-1.4707700000000001	-4.1147800000000005	dae	200	908341	0.23558	0.23558	200	TP53
dae_156	4.92812	HALLMARK_COAGULATION	-2.6372299999999997	-4.92812	dae	200	908341	0.23558	0.23558	200	TP53
dae_122	7.87064	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5.5309099999999995	7.87064	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	4.965669999999999	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.60264	4.965669999999999	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	4.46584	HALLMARK_MTORC1_SIGNALING	4.26615	4.46584	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	4.22858	HALLMARK_HYPOXIA	3.21617	4.22858	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	3.15448	HALLMARK_GLYCOLYSIS	2.8277099999999997	3.15448	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	3.2991300000000003	HALLMARK_APICAL_SURFACE	-0.722036	-3.2991300000000003	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	3.38226	HALLMARK_XENOBIOTIC_METABOLISM	-1.87232	-3.38226	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	3.42185	HALLMARK_SPERMATOGENESIS	-0.574795	-3.42185	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	4.63964	HALLMARK_ESTROGEN_RESPONSE_LATE	-1.1694200000000001	-4.63964	dae	200	908341	0.19832	0.19832	200	TP53
dae_122	4.64101	HALLMARK_KRAS_SIGNALING_DN	-1.28863	-4.64101	dae	200	908341	0.19832	0.19832	200	TP53
dae_7	5.68651	HALLMARK_MYC_TARGETS_V1	3.34075	5.68651	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	5.329219999999999	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.9332099999999999	5.329219999999999	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	4.70884	HALLMARK_E2F_TARGETS	2.44323	4.70884	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	3.94306	HALLMARK_G2M_CHECKPOINT	2.01134	3.94306	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	3.93764	HALLMARK_COAGULATION	-2.85122	-3.93764	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	4.5854099999999995	HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.96468	-4.5854099999999995	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	4.90257	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.2897	-4.90257	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	8.8984	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-5.621630000000001	-8.8984	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	9.664539999999999	HALLMARK_ESTROGEN_RESPONSE_LATE	-4.4652400000000005	-9.664539999999999	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_7	11.0546	HALLMARK_MYOGENESIS	-6.15819	-11.0546	dae	200	908341	0.16580999999999999	0.16580999999999999	200	TP53
dae_186	4.65232	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.93655	4.65232	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	4.59048	HALLMARK_INTERFERON_ALPHA_RESPONSE	2.1644099999999997	4.59048	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	4.50396	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.26622	4.50396	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	3.99707	HALLMARK_MITOTIC_SPINDLE	1.56887	3.99707	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	3.1711099999999997	HALLMARK_P53_PATHWAY	1.49647	3.1711099999999997	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	3.35483	HALLMARK_PANCREAS_BETA_CELLS	-0.6044579999999999	-3.35483	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	3.3646300000000005	HALLMARK_ESTROGEN_RESPONSE_LATE	-2.6299900000000003	-3.3646300000000005	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	4.99863	HALLMARK_HYPOXIA	-1.8055599999999998	-4.99863	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	5.03317	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.6745099999999997	-5.03317	dae	200	908341	0.14635	0.14635	200	TP53
dae_186	5.05547	HALLMARK_FATTY_ACID_METABOLISM	-2.34884	-5.05547	dae	200	908341	0.14635	0.14635	200	TP53
dae_143	10.7977	HALLMARK_COMPLEMENT	2.39042	10.7977	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	3.08681	HALLMARK_COAGULATION	2.1602900000000003	3.08681	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.96844	HALLMARK_PROTEIN_SECRETION	1.15731	2.96844	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.26594	HALLMARK_P53_PATHWAY	1.0721100000000001	2.26594	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.05495	HALLMARK_XENOBIOTIC_METABOLISM	1.63942	2.05495	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	1.9603099999999998	HALLMARK_MYC_TARGETS_V1	-1.0658	-1.9603099999999998	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.06563	HALLMARK_G2M_CHECKPOINT	-1.35869	-2.06563	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.17204	HALLMARK_MYOGENESIS	-1.79175	-2.17204	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	2.58312	HALLMARK_MYC_TARGETS_V2	-0.8449969999999999	-2.58312	dae	200	908341	0.13902	0.13902	200	TP53
dae_143	3.2203	HALLMARK_E2F_TARGETS	-2.33799	-3.2203	dae	200	908341	0.13902	0.13902	200	TP53
