big_feature_id	abs_z_score	individual_feature	k	signal	weight	abs	gene	variable	value	z_score
vae_133_978124_200_signal	10.5085	133	200	signal	0.082262	0.082262	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-3.8994199999999997	-10.5085
vae_133_978124_200_signal	6.83035	133	200	signal	0.082262	0.082262	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-4.346	-6.83035
vae_133_978124_200_signal	6.4200099999999996	133	200	signal	0.082262	0.082262	TP53	HALLMARK_P53_PATHWAY	-3.4651699999999996	-6.4200099999999996
vae_133_978124_200_signal	6.38283	133	200	signal	0.082262	0.082262	TP53	HALLMARK_COAGULATION	-2.60747	-6.38283
vae_133_978124_200_signal	6.15825	133	200	signal	0.082262	0.082262	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-3.64404	-6.15825
vae_6_908341_50_signal	13.4192	6	50	signal	0.075826	0.075826	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-4.42049	-13.4192
vae_6_908341_50_signal	10.687999999999999	6	50	signal	0.075826	0.075826	TP53	HALLMARK_XENOBIOTIC_METABOLISM	-5.6843699999999995	-10.687999999999999
vae_6_908341_50_signal	7.52623	6	50	signal	0.075826	0.075826	TP53	HALLMARK_COAGULATION	-4.08482	-7.52623
vae_6_908341_50_signal	7.41978	6	50	signal	0.075826	0.075826	TP53	HALLMARK_MYC_TARGETS_V1	0.408717	7.41978
vae_6_908341_50_signal	6.68337	6	50	signal	0.075826	0.075826	TP53	HALLMARK_KRAS_SIGNALING_UP	-4.51147	-6.68337
vae_4_908341_150_signal	8.68153	4	150	signal	-0.065103	0.065103	TP53	HALLMARK_BILE_ACID_METABOLISM	0.07070839999999999	8.68153
vae_4_908341_150_signal	7.60301	4	150	signal	-0.065103	0.065103	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-4.4352800000000006	-7.60301
vae_4_908341_150_signal	6.80611	4	150	signal	-0.065103	0.065103	TP53	HALLMARK_FATTY_ACID_METABOLISM	-0.831578	6.80611
vae_4_908341_150_signal	5.90416	4	150	signal	-0.065103	0.065103	TP53	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.54764	5.90416
vae_4_908341_150_signal	5.87387	4	150	signal	-0.065103	0.065103	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.789038	5.87387
dae_140_451283_150_signal	8.40018	140	150	signal	-0.062348	0.062348	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	-3.10989	-8.40018
dae_140_451283_150_signal	3.8176300000000003	140	150	signal	-0.062348	0.062348	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	-2.36052	-3.8176300000000003
dae_140_451283_150_signal	3.6102	140	150	signal	-0.062348	0.062348	TP53	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.30372	3.6102
dae_140_451283_150_signal	3.4392699999999996	140	150	signal	-0.062348	0.062348	TP53	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.811733	-3.4392699999999996
dae_140_451283_150_signal	3.09878	140	150	signal	-0.062348	0.062348	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	1.6836	3.09878
nmf_97_486191_200_signal	16.9001	97	200	signal	-0.061847000000000006	0.061847000000000006	TP53	HALLMARK_E2F_TARGETS	31.2308	16.9001
nmf_97_486191_200_signal	12.4126	97	200	signal	-0.061847000000000006	0.061847000000000006	TP53	HALLMARK_G2M_CHECKPOINT	22.7514	12.4126
nmf_97_486191_200_signal	10.763	97	200	signal	-0.061847000000000006	0.061847000000000006	TP53	HALLMARK_DNA_REPAIR	11.8644	10.763
nmf_97_486191_200_signal	9.65131	97	200	signal	-0.061847000000000006	0.061847000000000006	TP53	HALLMARK_MYC_TARGETS_V1	18.653	9.65131
nmf_97_486191_200_signal	6.02457	97	200	signal	-0.061847000000000006	0.061847000000000006	TP53	HALLMARK_MITOTIC_SPINDLE	8.9368	6.02457
dae_8_486191_50_signal	9.37439	8	50	signal	-0.060379999999999996	0.060379999999999996	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	5.72652	9.37439
dae_8_486191_50_signal	7.77901	8	50	signal	-0.060379999999999996	0.060379999999999996	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	4.14492	7.77901
dae_8_486191_50_signal	7.38855	8	50	signal	-0.060379999999999996	0.060379999999999996	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	-4.441409999999999	-7.38855
dae_8_486191_50_signal	7.2397100000000005	8	50	signal	-0.060379999999999996	0.060379999999999996	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	-3.7485800000000005	-7.2397100000000005
dae_8_486191_50_signal	7.079460000000001	8	50	signal	-0.060379999999999996	0.060379999999999996	TP53	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-3.6170400000000003	-7.079460000000001
vae_17_451283_35_signal	7.69037	17	35	signal	-0.055712	0.055712	TP53	HALLMARK_HEME_METABOLISM	-0.507614	7.69037
vae_17_451283_35_signal	7.13225	17	35	signal	-0.055712	0.055712	TP53	HALLMARK_PROTEIN_SECRETION	-0.032387400000000004	7.13225
vae_17_451283_35_signal	6.86874	17	35	signal	-0.055712	0.055712	TP53	HALLMARK_SPERMATOGENESIS	-0.700512	6.86874
vae_17_451283_35_signal	6.8646	17	35	signal	-0.055712	0.055712	TP53	HALLMARK_KRAS_SIGNALING_DN	-1.30936	6.8646
vae_17_451283_35_signal	5.86297	17	35	signal	-0.055712	0.055712	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-6.21531	-5.86297
dae_38_165158_90_signal	10.7372	38	90	signal	0.054347	0.054347	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	4.05841	10.7372
dae_38_165158_90_signal	7.89262	38	90	signal	0.054347	0.054347	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-2.09899	-7.89262
dae_38_165158_90_signal	7.7217	38	90	signal	0.054347	0.054347	TP53	HALLMARK_BILE_ACID_METABOLISM	-0.556816	-7.7217
dae_38_165158_90_signal	7.44954	38	90	signal	0.054347	0.054347	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	5.72048	7.44954
dae_38_165158_90_signal	6.41551	38	90	signal	0.054347	0.054347	TP53	HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.0114900000000002	-6.41551
pca_199_165158_200_signal	3.34314	199	200	signal	0.052498	0.052498	TP53	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.362727	3.34314
pca_199_165158_200_signal	2.23373	199	200	signal	0.052498	0.052498	TP53	HALLMARK_P53_PATHWAY	-0.33413899999999996	-2.23373
pca_199_165158_200_signal	2.1717400000000002	199	200	signal	0.052498	0.052498	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.298487	-2.1717400000000002
pca_199_165158_200_signal	1.99622	199	200	signal	0.052498	0.052498	TP53	HALLMARK_HEME_METABOLISM	-0.29144200000000003	-1.99622
pca_199_165158_200_signal	1.98417	199	200	signal	0.052498	0.052498	TP53	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.07831030000000001	1.98417
vae_113_978124_150_signal	6.30441	113	150	signal	-0.05001	0.05001	TP53	HALLMARK_SPERMATOGENESIS	-0.68099	6.30441
vae_113_978124_150_signal	4.51653	113	150	signal	-0.05001	0.05001	TP53	HALLMARK_FATTY_ACID_METABOLISM	-1.06481	4.51653
vae_113_978124_150_signal	4.29117	113	150	signal	-0.05001	0.05001	TP53	HALLMARK_BILE_ACID_METABOLISM	-0.816102	4.29117
vae_113_978124_150_signal	4.085319999999999	113	150	signal	-0.05001	0.05001	TP53	HALLMARK_HYPOXIA	-3.84346	-4.085319999999999
vae_113_978124_150_signal	4.05103	113	150	signal	-0.05001	0.05001	TP53	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-3.8394	-4.05103
dae_16_978124_50_signal	8.80221	16	50	signal	0.049139999999999996	0.049139999999999996	TP53	HALLMARK_MYOGENESIS	-8.1399	-8.80221
dae_16_978124_50_signal	7.19045	16	50	signal	0.049139999999999996	0.049139999999999996	TP53	HALLMARK_HEME_METABOLISM	0.00230562	7.19045
dae_16_978124_50_signal	7.15326	16	50	signal	0.049139999999999996	0.049139999999999996	TP53	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.658209	7.15326
dae_16_978124_50_signal	6.96438	16	50	signal	0.049139999999999996	0.049139999999999996	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-10.4002	-6.96438
dae_16_978124_50_signal	6.76825	16	50	signal	0.049139999999999996	0.049139999999999996	TP53	HALLMARK_HYPOXIA	-7.454289999999999	-6.76825
vae_135_486191_150_signal	8.93853	135	150	signal	0.048542	0.048542	TP53	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.8609829999999999	8.93853
vae_135_486191_150_signal	7.26606	135	150	signal	0.048542	0.048542	TP53	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-4.4004199999999996	-7.26606
vae_135_486191_150_signal	5.88921	135	150	signal	0.048542	0.048542	TP53	HALLMARK_ESTROGEN_RESPONSE_LATE	-4.23496	-5.88921
vae_135_486191_150_signal	5.10879	135	150	signal	0.048542	0.048542	TP53	HALLMARK_KRAS_SIGNALING_UP	-3.70345	-5.10879
vae_135_486191_150_signal	4.85873	135	150	signal	0.048542	0.048542	TP53	HALLMARK_SPERMATOGENESIS	-0.518955	4.85873
