metaedge	unicode_metaedge	standard_metaedge	abbreviation	standard_abbreviation	source	target	inverted
Cancer-Hallmarks - participates - Gene	Cancer-Hallmarks–participates–Gene	Gene - participates - Cancer-Hallmarks	HpG	GpH	Cancer-Hallmarks	Gene	1
Computational-Gene-Sets-CGN - participates - Gene	Computational-Gene-Sets-CGN–participates–Gene	Gene - participates - Computational-Gene-Sets-CGN	C4-CGNpG	GpC4-CGN	Computational-Gene-Sets-CGN	Gene	1
Computational-Gene-Sets-CM - participates - Gene	Computational-Gene-Sets-CM–participates–Gene	Gene - participates - Computational-Gene-Sets-CM	C4-CMpG	GpC4-CM	Computational-Gene-Sets-CM	Gene	1
Curated-Gene-Sets-CPG - participates - Gene	Curated-Gene-Sets-CPG–participates–Gene	Gene - participates - Curated-Gene-Sets-CPG	C2-CPGpG	GpC2-CPG	Curated-Gene-Sets-CPG	Gene	1
Curated-Gene-Sets-REACTOME - participates - Gene	Curated-Gene-Sets-REACTOME–participates–Gene	Gene - participates - Curated-Gene-Sets-REACTOME	C2-CP-REACTOMEpG	GpC2-CP-REACTOME	Curated-Gene-Sets-REACTOME	Gene	1
GO-Gene-Sets-BP - participates - Gene	GO-Gene-Sets-BP–participates–Gene	Gene - participates - GO-Gene-Sets-BP	C5-BPpG	GpC5-BP	GO-Gene-Sets-BP	Gene	1
GO-Gene-Sets-CC - participates - Gene	GO-Gene-Sets-CC–participates–Gene	Gene - participates - GO-Gene-Sets-CC	C5-CCpG	GpC5-CC	GO-Gene-Sets-CC	Gene	1
GO-Gene-Sets-MF - participates - Gene	GO-Gene-Sets-MF–participates–Gene	Gene - participates - GO-Gene-Sets-MF	C5-MFpG	GpC5-MF	GO-Gene-Sets-MF	Gene	1
Gene - participates - Cancer-Hallmarks	Gene–participates–Cancer-Hallmarks	Gene - participates - Cancer-Hallmarks	GpH	GpH	Gene	Cancer-Hallmarks	0
Gene - participates - Computational-Gene-Sets-CGN	Gene–participates–Computational-Gene-Sets-CGN	Gene - participates - Computational-Gene-Sets-CGN	GpC4-CGN	GpC4-CGN	Gene	Computational-Gene-Sets-CGN	0
Gene - participates - Computational-Gene-Sets-CM	Gene–participates–Computational-Gene-Sets-CM	Gene - participates - Computational-Gene-Sets-CM	GpC4-CM	GpC4-CM	Gene	Computational-Gene-Sets-CM	0
Gene - participates - Curated-Gene-Sets-CPG	Gene–participates–Curated-Gene-Sets-CPG	Gene - participates - Curated-Gene-Sets-CPG	GpC2-CPG	GpC2-CPG	Gene	Curated-Gene-Sets-CPG	0
