tissuetype	n =
Muscle - Skeletal	564
Skin - Sun Exposed (Lower leg)	473
Thyroid	446
Adipose - Subcutaneous	442
Artery - Tibial	441
Lung	427
Nerve - Tibial	414
Whole Blood	407
Esophagus - Mucosa	407
Skin - Not Sun Exposed (Suprapubic)	387
Esophagus - Muscularis	370
Adipose - Visceral (Omentum)	355
Cells - Transformed fibroblasts	343
Heart - Left Ventricle	303
Artery - Aorta	299
Heart - Atrial Appendage	297
Breast - Mammary Tissue	290
Colon - Transverse	274
Stomach	262
Testis	259
Pancreas	248
Esophagus - Gastroesophageal Junction	244
Colon - Sigmoid	233
Adrenal Gland	190
Pituitary	183
Liver	175
Brain - Cerebellum	173
Artery - Coronary	173
Spleen	162
Brain - Caudate (basal ganglia)	160
Brain - Cortex	158
Prostate	152
Brain - Nucleus accumbens (basal ganglia)	147
Small Intestine - Terminal Ileum	137
Brain - Cerebellar Hemisphere	136
Ovary	133
Cells - EBV-transformed lymphocytes	130
Brain - Frontal Cortex (BA9)	129
Brain - Putamen (basal ganglia)	124
Brain - Hippocampus	123
Brain - Hypothalamus	121
Brain - Anterior cingulate cortex (BA24)	121
Vagina	115
Uterus	111
Brain - Amygdala	100
Minor Salivary Gland	97
Brain - Spinal cord (cervical c-1)	91
Brain - Substantia nigra	88
Kidney - Cortex	45
Bladder	11
Fallopian Tube	7
Cervix - Ectocervix	6
Cervix - Endocervix	5
