model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.6	34.8593	tcga	8	gph
real	0.7	28.4225	tcga	18	gph
real	1.0	39.62	tcga	100	gph
real	0.64	31.2866	tcga	12	gph
real	0.84	43.1917	tcga	35	gph
real	0.24	34.6416	tcga	3	gph
real	0.24	29.6394	tcga	2	gph
real	0.46	29.0307	tcga	5	gph
real	0.88	37.1463	tcga	30	gph
real	1.0	42.0177	tcga	200	gph
real	0.62	29.5493	tcga	10	gph
real	0.68	32.8358	tcga	14	gph
real	1.0	37.2793	tcga	70	gph
real	0.44	30.0105	tcga	6	gph
real	0.9	41.5567	tcga	50	gph
real	1.0	49.4036	tcga	125	gph
real	0.94	37.0949	tcga	45	gph
real	0.6	29.0382	tcga	9	gph
real	1.0	42.2968	tcga	80	gph
real	0.54	28.0625	tcga	7	gph
real	0.92	42.5048	tcga	40	gph
real	0.28	33.9728	tcga	4	gph
real	0.7	30.0184	tcga	20	gph
real	1.0	48.4147	tcga	90	gph
real	0.94	52.3178	tcga	60	gph
real	0.72	31.3784	tcga	16	gph
real	0.8	29.44	tcga	25	gph
real	1.0	45.4571	tcga	150	gph
