model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.7648261758691206	63.8255	target	150	gpxcell
real	0.6503067484662577	53.5924	target	80	gpxcell
real	0.1983640081799591	39.8204	target	14	gpxcell
real	0.3824130879345603	44.8532	target	35	gpxcell
real	0.04703476482617587	36.2569	target	3	gpxcell
real	0.7525562372188139	55.4116	target	125	gpxcell
real	0.11042944785276074	33.8848	target	7	gpxcell
real	0.1983640081799591	35.3471	target	16	gpxcell
real	0.12883435582822086	37.7563	target	9	gpxcell
real	0.4335378323108384	47.2144	target	40	gpxcell
real	0.34151329243353784	51.9533	target	30	gpxcell
real	0.22903885480572597	45.28	target	18	gpxcell
real	0.27607361963190186	36.5264	target	25	gpxcell
real	0.8548057259713702	69.8149	target	200	gpxcell
real	0.08384458077709611	35.5597	target	5	gpxcell
real	0.5051124744376279	57.0582	target	50	gpxcell
real	0.6993865030674846	55.1146	target	90	gpxcell
real	0.46421267893660534	55.7763	target	45	gpxcell
real	0.5787321063394683	55.2023	target	60	gpxcell
real	0.10020449897750511	33.1934	target	6	gpxcell
real	0.13496932515337423	33.0502	target	10	gpxcell
real	0.21881390593047034	40.7808	target	20	gpxcell
real	0.6319018404907976	62.361000000000004	target	70	gpxcell
real	0.03067484662576687	35.8397	target	2	gpxcell
real	0.15132924335378323	37.6807	target	12	gpxcell
real	0.06134969325153374	35.1371	target	4	gpxcell
real	0.11451942740286299	33.4831	target	8	gpxcell
real	0.7341513292433538	68.1662	target	100	gpxcell
