model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.5252032520325203	33.748000000000005	tcga	45	gpc3tft
real	0.4764227642276423	30.6134	tcga	40	gpc3tft
real	0.2097560975609756	26.3943	tcga	14	gpc3tft
real	0.7056910569105691	43.5315	tcga	80	gpc3tft
real	0.3235772357723577	23.958000000000002	tcga	25	gpc3tft
real	0.05040650406504065	21.2104	tcga	4	gpc3tft
real	0.25040650406504067	23.4023	tcga	18	gpc3tft
real	0.43577235772357725	27.2522	tcga	35	gpc3tft
real	0.15284552845528454	23.9546	tcga	8	gpc3tft
real	0.6097560975609756	42.9036	tcga	60	gpc3tft
real	0.16585365853658537	21.5746	tcga	9	gpc3tft
real	0.07317073170731707	18.2445	tcga	5	gpc3tft
real	0.8829268292682927	104.325	tcga	150	gpc3tft
real	0.6731707317073171	44.2679	tcga	70	gpc3tft
real	0.3853658536585366	24.4649	tcga	30	gpc3tft
real	0.8113821138211382	46.8652	tcga	100	gpc3tft
real	0.03902439024390244	18.2995	tcga	2	gpc3tft
real	0.7463414634146341	45.8762	tcga	90	gpc3tft
real	0.0910569105691057	18.801	tcga	6	gpc3tft
real	0.12195121951219512	33.5197	tcga	7	gpc3tft
real	0.23252032520325203	23.3552	tcga	16	gpc3tft
real	0.9317073170731708	180.855	tcga	200	gpc3tft
real	0.1821138211382114	27.3651	tcga	12	gpc3tft
real	0.5707317073170731	39.1159	tcga	50	gpc3tft
real	0.16585365853658537	22.3983	tcga	10	gpc3tft
real	0.8471544715447155	42.5928	tcga	125	gpc3tft
real	0.2943089430894309	29.1244	tcga	20	gpc3tft
real	0.04227642276422764	24.5428	tcga	3	gpc3tft
