model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.66	25.8116	target	14	gph
real	1.0	29.1505	target	80	gph
real	0.8	29.4281	target	30	gph
real	1.0	31.7681	target	100	gph
real	0.64	35.2834	target	18	gph
real	0.84	25.4344	target	40	gph
real	0.26	23.8707	target	3	gph
real	0.82	26.6817	target	45	gph
real	0.86	27.0064	target	50	gph
real	1.0	29.4103	target	200	gph
real	1.0	42.4489	target	90	gph
real	0.32	23.1939	target	4	gph
real	1.0	36.9402	target	125	gph
real	0.2	22.1463	target	2	gph
real	0.96	25.5716	target	60	gph
real	0.78	31.8716	target	25	gph
real	0.98	27.3817	target	70	gph
real	0.7	35.634	target	20	gph
real	0.38	25.2001	target	5	gph
real	0.48	29.6729	target	10	gph
real	0.64	21.7562	target	16	gph
real	0.56	26.4513	target	12	gph
real	0.4	21.68	target	6	gph
real	1.0	32.1733	target	150	gph
real	0.82	28.6221	target	35	gph
real	0.44	23.1489	target	8	gph
real	0.46	27.4099	target	9	gph
real	0.44	25.9697	target	7	gph
