model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.691415313225058	41.6639	target	100	gpc4cm
real	0.20185614849187936	41.9193	target	14	gpc4cm
real	0.345707656612529	68.0116	target	30	gpc4cm
real	0.6566125290023201	46.7329	target	90	gpc4cm
real	0.04640371229698376	43.388999999999996	target	3	gpc4cm
real	0.1925754060324826	35.4772	target	16	gpc4cm
real	0.030162412993039442	35.0737	target	2	gpc4cm
real	0.07424593967517401	45.2655	target	5	gpc4cm
real	0.4431554524361949	45.7053	target	45	gpc4cm
real	0.10904872389791183	48.1523	target	7	gpc4cm
real	0.06728538283062645	44.4886	target	4	gpc4cm
real	0.1345707656612529	53.118	target	10	gpc4cm
real	0.271461716937355	66.3077	target	25	gpc4cm
real	0.7911832946635731	49.9507	target	200	gpc4cm
real	0.5614849187935035	51.2354	target	70	gpc4cm
real	0.12761020881670534	56.4477	target	9	gpc4cm
real	0.21809744779582366	40.9347	target	18	gpc4cm
real	0.24361948955916474	61.3304	target	20	gpc4cm
real	0.08816705336426914	46.958999999999996	target	6	gpc4cm
real	0.4222737819025522	52.6105	target	40	gpc4cm
real	0.6357308584686775	46.4913	target	80	gpc4cm
real	0.7517401392111369	57.4845	target	150	gpc4cm
real	0.4756380510440835	41.8894	target	50	gpc4cm
real	0.48259860788863107	53.9888	target	60	gpc4cm
real	0.7378190255220418	42.9913	target	125	gpc4cm
real	0.16473317865429235	51.2407	target	12	gpc4cm
real	0.382830626450116	57.9037	target	35	gpc4cm
real	0.10208816705336426	39.7342	target	8	gpc4cm
