model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.2147239263803681	46.9427	gtex	16	gpxcell
real	0.5848670756646217	55.2433	gtex	90	gpxcell
real	0.081799591002045	44.675	gtex	6	gpxcell
real	0.12065439672801637	50.0116	gtex	9	gpxcell
real	0.7505112474437627	74.5482	gtex	150	gpxcell
real	0.16359918200409	55.1516	gtex	12	gpxcell
real	0.4049079754601227	52.34	gtex	45	gpxcell
real	0.24130879345603273	32.3784	gtex	20	gpxcell
real	0.7055214723926381	70.2859	gtex	125	gpxcell
real	0.032719836400818	33.0596	gtex	2	gpxcell
real	0.2903885480572597	40.6008	gtex	30	gpxcell
real	0.35991820040899797	52.3432	gtex	40	gpxcell
real	0.6359918200408998	56.262	gtex	100	gpxcell
real	0.49693251533742333	55.9201	gtex	60	gpxcell
real	0.10224948875255624	41.7998	gtex	7	gpxcell
real	0.049079754601226995	29.0584	gtex	4	gpxcell
real	0.04703476482617587	34.7243	gtex	3	gpxcell
real	0.17177914110429449	43.1981	gtex	14	gpxcell
real	0.4212678936605317	53.5124	gtex	50	gpxcell
real	0.22085889570552147	48.7293	gtex	18	gpxcell
real	0.12883435582822086	54.6594	gtex	10	gpxcell
real	0.3394683026584867	46.8766	gtex	35	gpxcell
real	0.28016359918200406	38.375	gtex	25	gpxcell
real	0.11042944785276074	50.3147	gtex	8	gpxcell
real	0.8241308793456033	70.0715	gtex	200	gpxcell
real	0.5378323108384458	55.8781	gtex	80	gpxcell
real	0.5460122699386503	55.2762	gtex	70	gpxcell
real	0.07566462167689161	37.6306	gtex	5	gpxcell
