	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3698.824443896762	3498.9303119601914	25	0.002	100	50	0.0	4942	1	100
1	2775.276687712339	3008.4530243993404	25	0.002	100	50	0.0	4942	1	100
2	2696.670610777221	2719.8324630967336	25	0.002	100	50	0.0	4942	1	100
3	2661.1497878355563	2662.6483724776226	25	0.002	100	50	0.0	4942	1	100
4	2642.3804153764286	2676.466479124136	25	0.002	100	50	0.0	4942	1	100
5	2627.460510751235	2623.208348873273	25	0.002	100	50	0.0	4942	1	100
6	2610.774810862549	2607.7828031760364	25	0.002	100	50	0.0	4942	1	100
7	2599.1194492412046	2612.3062566249214	25	0.002	100	50	0.0	4942	1	100
8	2590.263803878258	2598.2976061950376	25	0.002	100	50	0.0	4942	1	100
9	2583.021357413155	2583.649772298995	25	0.002	100	50	0.0	4942	1	100
10	2574.8213553366377	2577.805307052842	25	0.002	100	50	0.0	4942	1	100
11	2567.204838044756	2565.479130270493	25	0.002	100	50	0.0	4942	1	100
12	2562.967777034616	2559.2748925290516	25	0.002	100	50	0.0	4942	1	100
13	2557.572341981963	2551.489858962783	25	0.002	100	50	0.0	4942	1	100
14	2552.8124159310382	2549.3721745936714	25	0.002	100	50	0.0	4942	1	100
15	2548.6597964293937	2552.8335500745916	25	0.002	100	50	0.0	4942	1	100
16	2544.6382371689783	2543.220710486024	25	0.002	100	50	0.0	4942	1	100
17	2541.33323195098	2544.470643009972	25	0.002	100	50	0.0	4942	1	100
18	2539.322255542175	2539.3082306061556	25	0.002	100	50	0.0	4942	1	100
19	2536.30407923313	2532.922560802057	25	0.002	100	50	0.0	4942	1	100
20	2533.3367659812234	2530.2185696549154	25	0.002	100	50	0.0	4942	1	100
21	2531.1222716419943	2530.8993760305434	25	0.002	100	50	0.0	4942	1	100
22	2528.308248481363	2525.4670312009266	25	0.002	100	50	0.0	4942	1	100
23	2526.470913202026	2526.408021553078	25	0.002	100	50	0.0	4942	1	100
24	2524.5996121545895	2526.0612461722676	25	0.002	100	50	0.0	4942	1	100
25	2523.1568527894437	2519.407230243012	25	0.002	100	50	0.0	4942	1	100
26	2520.849869511891	2520.0539722538474	25	0.002	100	50	0.0	4942	1	100
27	2519.1807655175226	2521.669136699121	25	0.002	100	50	0.0	4942	1	100
28	2517.456427670281	2517.723616863615	25	0.002	100	50	0.0	4942	1	100
29	2516.471102214123	2512.9571711094536	25	0.002	100	50	0.0	4942	1	100
30	2515.205103168558	2511.410254396985	25	0.002	100	50	0.0	4942	1	100
31	2513.730871408988	2511.491358157977	25	0.002	100	50	0.0	4942	1	100
32	2512.365162214672	2511.0863963371544	25	0.002	100	50	0.0	4942	1	100
33	2511.2070237560083	2507.4874236907194	25	0.002	100	50	0.0	4942	1	100
34	2509.7290045057694	2507.097269796247	25	0.002	100	50	0.0	4942	1	100
35	2508.8959783806786	2507.489462694331	25	0.002	100	50	0.0	4942	1	100
36	2507.977624221497	2505.150107225581	25	0.002	100	50	0.0	4942	1	100
37	2506.9679944693794	2505.771072157663	25	0.002	100	50	0.0	4942	1	100
38	2505.880413005602	2503.47800894119	25	0.002	100	50	0.0	4942	1	100
39	2505.600986389167	2503.802690208857	25	0.002	100	50	0.0	4942	1	100
40	2504.369219080281	2503.4971267470164	25	0.002	100	50	0.0	4942	1	100
41	2503.518861205387	2501.18618114989	25	0.002	100	50	0.0	4942	1	100
42	2502.584180772085	2500.106051497723	25	0.002	100	50	0.0	4942	1	100
43	2502.3100844548344	2500.638983491677	25	0.002	100	50	0.0	4942	1	100
44	2501.798331804741	2500.7555269020886	25	0.002	100	50	0.0	4942	1	100
45	2501.145551086896	2499.060630299937	25	0.002	100	50	0.0	4942	1	100
46	2500.5363934944085	2498.707141665358	25	0.002	100	50	0.0	4942	1	100
47	2499.8475664311027	2498.168892558496	25	0.002	100	50	0.0	4942	1	100
48	2499.263838759383	2496.423828125	25	0.002	100	50	0.0	4942	1	100
49	2498.740846620499	2496.007513151696	25	0.002	100	50	0.0	4942	1	100
