	loss	val_loss	num_components	learning_rate	batch_size	epochs	sparsity	noise	seed
0	2.8743385798072736	1.8528956705935826	75	0.002	100	50	0.001	0.1	9772
1	1.7053977645040002	1.7287393078977247	75	0.002	100	50	0.001	0.1	9772
2	1.702916084741743	1.7144046599048957	75	0.002	100	50	0.001	0.1	9772
3	1.7212272957560995	1.9490319735461394	75	0.002	100	50	0.001	0.1	9772
4	1.6900635253264826	2.0953213566803797	75	0.002	100	50	0.001	0.1	9772
5	1.654399337610124	2.1104162241943025	75	0.002	100	50	0.001	0.1	9772
6	1.5506788512861438	2.058591391342776	75	0.002	100	50	0.001	0.1	9772
7	1.6839947918374367	2.2912490130838425	75	0.002	100	50	0.001	0.1	9772
8	1.6851200489201659	2.3703046086641386	75	0.002	100	50	0.001	0.1	9772
9	1.804173208360754	2.3891536473772037	75	0.002	100	50	0.001	0.1	9772
10	1.7611921140000986	2.511024781896325	75	0.002	100	50	0.001	0.1	9772
11	1.8142050731834944	2.1273929735442647	75	0.002	100	50	0.001	0.1	9772
12	1.7151782873408088	2.460084523115286	75	0.002	100	50	0.001	0.1	9772
13	1.7899680453957452	2.6997319159042767	75	0.002	100	50	0.001	0.1	9772
14	1.7402143701554789	1.9676965839776208	75	0.002	100	50	0.001	0.1	9772
15	1.6708350064402924	2.3737951168366647	75	0.002	100	50	0.001	0.1	9772
16	1.7843363071749976	2.378184102689331	75	0.002	100	50	0.001	0.1	9772
17	1.7133017585455619	2.5625744542929683	75	0.002	100	50	0.001	0.1	9772
18	1.8678370005523666	2.5240235230662855	75	0.002	100	50	0.001	0.1	9772
19	1.6152007425789447	2.417896850615113	75	0.002	100	50	0.001	0.1	9772
20	1.977853743952493	2.8053690058323437	75	0.002	100	50	0.001	0.1	9772
21	2.0593359402549973	2.8109960824991957	75	0.002	100	50	0.001	0.1	9772
22	1.9001487853023535	2.67343983002876	75	0.002	100	50	0.001	0.1	9772
23	1.8545312199875765	2.634502173609761	75	0.002	100	50	0.001	0.1	9772
24	1.9241421429051941	3.163855810694211	75	0.002	100	50	0.001	0.1	9772
25	1.954000848874293	2.5599205320697442	75	0.002	100	50	0.001	0.1	9772
26	1.8996929044134874	2.138703954835239	75	0.002	100	50	0.001	0.1	9772
27	1.8625988790057588	3.0047675724467173	75	0.002	100	50	0.001	0.1	9772
28	1.9327557823881643	2.4125664327614165	75	0.002	100	50	0.001	0.1	9772
29	1.9361585392878387	2.6004141017538185	75	0.002	100	50	0.001	0.1	9772
30	2.0702383787209255	2.9604416328907925	75	0.002	100	50	0.001	0.1	9772
31	1.9311368114970056	2.783139422108521	75	0.002	100	50	0.001	0.1	9772
32	1.9198438581207866	2.5504062633897333	75	0.002	100	50	0.001	0.1	9772
33	1.9088016548078726	3.110129120472968	75	0.002	100	50	0.001	0.1	9772
34	2.0853003058944664	2.8855365583135337	75	0.002	100	50	0.001	0.1	9772
35	1.9740814912601599	2.725994846560987	75	0.002	100	50	0.001	0.1	9772
36	1.862061843518229	2.73494781750338	75	0.002	100	50	0.001	0.1	9772
37	1.9183002341683912	2.5602146612754515	75	0.002	100	50	0.001	0.1	9772
38	1.7925947083621936	3.0652623965225074	75	0.002	100	50	0.001	0.1	9772
39	1.9702806014456404	2.8855774361590356	75	0.002	100	50	0.001	0.1	9772
40	2.06496748994669	2.987113898388514	75	0.002	100	50	0.001	0.1	9772
41	1.8419154996219989	2.6919681766065082	75	0.002	100	50	0.001	0.1	9772
42	1.9087146382700126	2.320123000081137	75	0.002	100	50	0.001	0.1	9772
43	1.8730555791049661	2.3704009429902464	75	0.002	100	50	0.001	0.1	9772
44	1.9557685942885652	2.646572886415923	75	0.002	100	50	0.001	0.1	9772
45	2.01486630152848	2.44545044771344	75	0.002	100	50	0.001	0.1	9772
46	1.9491852433815984	2.7077744782084943	75	0.002	100	50	0.001	0.1	9772
47	2.030595605597921	3.06148964747872	75	0.002	100	50	0.001	0.1	9772
48	2.066861702901175	2.6396365111006377	75	0.002	100	50	0.001	0.1	9772
49	1.978172466869652	2.7311898472204263	75	0.002	100	50	0.001	0.1	9772
